,Mejor,Media,Std,Mejor ind
12,0.002799607978126138,0.015531035197340181,0.0048314872534578335,"[-0.0009432   0.0204809   0.09021802 -0.01736519 -0.18624519  0.07788963
 -0.33053599  0.28735435  0.20662426  0.0385448 ]"
13,0.0015468699221722769,0.008484625541803735,0.002761500816726175,"[ 1.08559384e-04 -3.39208488e-02 -3.32751155e-02  5.37276914e-02
 -1.16132790e-01  1.17376526e-01  2.98715263e-01 -1.30757561e-01
  2.65033589e-01  1.50902405e-01]"
14,0.0015468699221722769,0.005658161444055803,0.0017553640869798718,"[ 1.08559384e-04 -3.39208488e-02 -3.32751155e-02  5.37276914e-02
 -1.16132790e-01  1.17376526e-01  2.98715263e-01 -1.30757561e-01
  2.65033589e-01  1.50902405e-01]"
15,0.0015468699221722769,0.003781286203059874,0.0011385364220114437,"[ 1.08559384e-04 -3.39208488e-02 -3.32751155e-02  5.37276914e-02
 -1.16132790e-01  1.17376526e-01  2.98715263e-01 -1.30757561e-01
  2.65033589e-01  1.50902405e-01]"
16,0.0005098629481294885,0.00223123931966897,0.0006776629637693132,"[-1.41976635e-04  4.38278666e-03 -2.81868159e-02 -1.10199474e-01
 -1.22675618e-01  1.29767668e-01  2.67264305e-01 -1.30203178e-01
  1.57313011e-01 -3.70470926e-01]"
17,0.0005098629481294885,0.0013234999372447101,0.0004433705684219495,"[-1.41976635e-04  4.38278666e-03 -2.81868159e-02 -1.10199474e-01
 -1.22675618e-01  1.29767668e-01  2.67264305e-01 -1.30203178e-01
  1.57313011e-01 -3.70470926e-01]"
18,0.0001774433112434944,0.0007601444149122479,0.00024256178371882695,"[-5.94224859e-06 -9.60922848e-03 -3.83496197e-02 -4.69108354e-02
  7.26468941e-02  8.12332255e-02 -2.02849160e-01 -1.41298878e-01
  2.22158021e-01  1.15726176e-01]"
19,0.0001774433112434944,0.000538682710062723,0.00012621642663376552,"[-5.94224859e-06 -9.60922848e-03 -3.83496197e-02 -4.69108354e-02
  7.26468941e-02  8.12332255e-02 -2.02849160e-01 -1.41298878e-01
  2.22158021e-01  1.15726176e-01]"
20,0.0001364374400639342,0.00039428444240012316,0.00011616522804404727,"[-6.93553300e-05  5.24209689e-03 -1.53843186e-02 -3.68049126e-02
 -1.05437195e-01  1.14226428e-01 -2.10091367e-01 -1.61680009e-01
 -6.43350016e-02  2.25613428e-01]"
21,8.409891167016377e-05,0.0002857214599827606,9.20654164383593e-05,"[ 2.40599455e-05  2.49001647e-03 -3.02401982e-02  1.39552114e-02
 -2.80689400e-02  8.43779293e-02 -2.03683268e-01 -1.62343859e-01
  2.33460060e-01 -3.11789767e-01]"
22,2.850831847080481e-05,0.0002148095915650598,8.333321062677988e-05,"[ 1.76300528e-06  2.37078941e-03  6.80772220e-03 -4.56245282e-02
  6.58430545e-03  1.16465178e-01 -2.02190501e-01 -1.41554650e-01
 -1.18246716e-01 -1.19257834e-01]"
23,2.850831847080481e-05,0.00018730438141259965,6.7493337241999e-05,"[ 1.76300528e-06  2.37078941e-03  6.80772220e-03 -4.56245282e-02
  6.58430545e-03  1.16465178e-01 -2.02190501e-01 -1.41554650e-01
 -1.18246716e-01 -1.19257834e-01]"
24,2.850831847080481e-05,0.00015756642987570644,5.847830459875098e-05,"[ 1.76300528e-06  2.37078941e-03  6.80772220e-03 -4.56245282e-02
  6.58430545e-03  1.16465178e-01 -2.02190501e-01 -1.41554650e-01
 -1.18246716e-01 -1.19257834e-01]"
25,2.850831847080481e-05,0.00013527946738882486,5.292523355955058e-05,"[ 1.76300528e-06  2.37078941e-03  6.80772220e-03 -4.56245282e-02
  6.58430545e-03  1.16465178e-01 -2.02190501e-01 -1.41554650e-01
 -1.18246716e-01 -1.19257834e-01]"
26,2.850831847080481e-05,0.00011598464287229617,4.514078433701148e-05,"[ 1.76300528e-06  2.37078941e-03  6.80772220e-03 -4.56245282e-02
  6.58430545e-03  1.16465178e-01 -2.02190501e-01 -1.41554650e-01
 -1.18246716e-01 -1.19257834e-01]"
27,2.850831847080481e-05,9.405258483061203e-05,3.3093165261128305e-05,"[ 1.76300528e-06  2.37078941e-03  6.80772220e-03 -4.56245282e-02
  6.58430545e-03  1.16465178e-01 -2.02190501e-01 -1.41554650e-01
 -1.18246716e-01 -1.19257834e-01]"
28,2.850831847080481e-05,8.482540555737191e-05,2.731586565343823e-05,"[ 1.76300528e-06  2.37078941e-03  6.80772220e-03 -4.56245282e-02
  6.58430545e-03  1.16465178e-01 -2.02190501e-01 -1.41554650e-01
 -1.18246716e-01 -1.19257834e-01]"
29,2.850831847080481e-05,7.883496019081905e-05,2.3682825645234095e-05,"[ 1.76300528e-06  2.37078941e-03  6.80772220e-03 -4.56245282e-02
  6.58430545e-03  1.16465178e-01 -2.02190501e-01 -1.41554650e-01
 -1.18246716e-01 -1.19257834e-01]"
30,2.7184260313712073e-05,7.18923325813295e-05,2.031233252053776e-05,"[ 1.21296345e-08  2.98697344e-03  1.69031544e-02 -4.26215050e-02
  8.88831975e-02  8.93781240e-02 -1.66407895e-01 -1.40803277e-01
 -1.22562963e-01  2.27352062e-01]"
31,2.7184260313712073e-05,7.099824703359311e-05,1.9444242968619727e-05,"[ 1.21296345e-08  2.98697344e-03  1.69031544e-02 -4.26215050e-02
  8.88831975e-02  8.93781240e-02 -1.66407895e-01 -1.40803277e-01
 -1.22562963e-01  2.27352062e-01]"
32,2.7184260313712073e-05,6.955179884499026e-05,1.8169064431529243e-05,"[ 1.21296345e-08  2.98697344e-03  1.69031544e-02 -4.26215050e-02
  8.88831975e-02  8.93781240e-02 -1.66407895e-01 -1.40803277e-01
 -1.22562963e-01  2.27352062e-01]"
33,2.7184260313712073e-05,6.636413996842708e-05,1.762484966269595e-05,"[ 1.21296345e-08  2.98697344e-03  1.69031544e-02 -4.26215050e-02
  8.88831975e-02  8.93781240e-02 -1.66407895e-01 -1.40803277e-01
 -1.22562963e-01  2.27352062e-01]"
