,init,strategy,F,CR,x,valor
20,latinhypercube,rand1bin,0.7,0.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
21,latinhypercube,rand1bin,0.7,0.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
22,latinhypercube,rand1bin,0.7,0.6000000000000001,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -1.11022302e-16 -1.31006317e-14]",1.4891205092968143e-139
23,latinhypercube,rand1bin,0.7,0.7,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.22044605e-16 -3.21964677e-14
  3.23518989e-13  9.49329504e-12]",1.1872874267947102e-108
24,latinhypercube,rand1bin,0.7,0.8,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  8.88178420e-16 -1.12687637e-13 -2.69473333e-12
  7.71585018e-11 -4.31085723e-10]",8.215864324820151e-91
25,latinhypercube,rand1bin,0.7,0.9000000000000001,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -2.88657986e-15  1.44328993e-13
 -4.85700369e-12 -3.08875148e-11]",3.3631958616329044e-102
26,latinhypercube,rand1bin,0.7,1.0,"[-1.09194588e-10  1.48202305e-05  1.12511238e-03  2.28597803e-03
  9.84262152e-03  3.77281762e-02  3.68376479e-04  8.96765693e-02
  1.11441303e-01  1.25228699e-01]",1.2538768715492697e-08
27,latinhypercube,rand1bin,0.8,0.2,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.55111512e-16
 -1.33226763e-15  4.90274488e-13]",9.818984423365755e-123
28,latinhypercube,rand1bin,0.8,0.30000000000000004,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.22044605e-16 -5.66213743e-15
  1.00275344e-12  6.19237994e-12]",1.0517518235756514e-108
29,latinhypercube,rand1bin,0.8,0.4,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -6.66133815e-16 -1.97619698e-14 -1.41322509e-11
  1.58234981e-10  7.55806528e-10]",1.6534137249260608e-87
