,init,strategy,F,CR,x,valor
12,latinhypercube,rand1bin,0.6,0.5,"[-1.57112492  4.71083945 -1.5763198  -4.71041195  4.71341875 -7.86037009
 -4.71551931  4.71866067 -4.71867985 -4.71743848]",0.00045407816513209524
13,latinhypercube,rand1bin,0.6,0.6000000000000001,"[-7.85551471  1.5739998  -7.85645663 -1.57320719 -7.85586615 -1.56580807
 -4.71424414  1.57542144 -1.56691869 -7.85579164]",0.0004540385777422693
14,latinhypercube,rand1bin,0.6,0.7,"[ 4.71318375 -7.8546475  -7.85314704 -7.85308735  1.57055995  4.71157718
  7.85329168 -1.57164194 -7.85322778 -7.85478274]",0.00045400162149096475
15,latinhypercube,rand1bin,0.6,0.8,"[ 7.85323605 -1.57081528 -7.85380835  1.57142687  4.71193328  4.71164906
  4.7133208  -4.71327618 -1.57127917 -1.57145879]",0.00045400095916213213
16,latinhypercube,rand1bin,0.6,0.9000000000000001,"[ 7.85465329 -1.56900177  7.85361614 -1.57318894  1.56922593  7.85194833
 -4.71060536  1.57332454  7.85643383 -1.57324764]",0.00045401471252124045
17,latinhypercube,rand1bin,0.6,1.0,"[ 1.56691652 -4.70862573 -4.71291064 -7.85811617 -7.85595354 -7.84999586
 -1.57145403  4.71617916 -7.85015137 -4.71212794]",0.0004540384810790169
18,latinhypercube,rand1bin,0.7,0.2,"[ 1.56375246 -1.57379992 -1.56881539  1.58069259  1.56933099  7.85664053
 -4.69989047 -4.71165325 -4.71457639 -1.57522358]",0.00045414267365985066
19,latinhypercube,rand1bin,0.7,0.30000000000000004,"[-4.71312147 -1.568295    7.85545044  1.56926539 -4.71248099 -7.85136249
  4.71235418 -1.57219499  1.57288985 -4.71423372]",0.0004540107001599434
20,latinhypercube,rand1bin,0.7,0.4,"[-7.84920829 -1.56477658  1.5827496   7.85409905 -7.84954909  1.5787367
  4.71328666  7.8467598   4.71385767 -4.70637195]",0.0004541529263502525
21,latinhypercube,rand1bin,0.7,0.5,"[ 1.57472656 -1.56857257  4.71496986  4.71114121 -7.85257199 -4.71092623
 -1.57166815  1.5744863   4.71203295  4.7149363 ]",0.00045402125132384887
22,latinhypercube,rand1bin,0.7,0.6000000000000001,"[-4.71224496 -1.57017674 -1.57225911  4.71404731 -4.71408767 -1.57170306
 -4.71400486 -1.57157962  1.56960929  7.85480423]",0.000454005145725637
23,latinhypercube,rand1bin,0.7,0.7,"[-4.71217526 -1.57054923 -4.71240815  7.85399502  4.71195253 -1.57054296
  4.71294619 -1.57030606 -7.85356412  7.85418828]",0.0004539997592747856
24,latinhypercube,rand1bin,0.7,0.8,"[ 7.85424064 -4.71238503 -7.85402093  1.57062705  7.85365802  1.57048888
 -4.71217944  4.71214247  1.57111197 -1.57046927]",0.00045399954597993456
25,latinhypercube,rand1bin,0.7,0.9000000000000001,"[ 4.71229749  4.71232446 -1.57085412 -4.71245742 -4.71251877 -4.71256433
  7.8538436   4.71233255 -4.71040616 -7.85393607]",0.0004540009418502535
26,latinhypercube,rand1bin,0.7,1.0,"[ 4.72222525 -7.84602521  1.57222904  1.57997334 -1.57087174  4.72199523
 -1.58065493  7.85621072  7.85444717  7.85177534]",0.00045418150586522824
27,latinhypercube,rand1bin,0.8,0.2,"[ 1.57014792 -7.84511314  1.55637849  4.70962312  1.56637748 -1.5606532
  7.85962841  1.56940686 -4.71862589 -4.71457113]",0.0004542013782788336
28,latinhypercube,rand1bin,0.8,0.30000000000000004,"[-4.71384464 -4.71171198 -7.85373826  1.57333724  4.713602    4.71390309
 -7.85535956 -1.56965941  7.85347082 -7.85369187]",0.0004540059957513119
